TestTimeConfig,GameNum,Winner,TestAgentTime,BaselineAgentTime,Score,TotalTurns,P1Turns
180000,13,1,84.799,66.066,0.9293341666666667,31,16
180000,14,2,79.062,66.038,0.184115,30,15
180000,15,1,72.475,55.695,0.9396041666666667,27,14
180000,16,2,72.974,60.858,0.18918833333333335,28,14
180000,17,1,53.225,39.421,0.9556458333333333,21,11
180000,18,2,66.331,55.502,0.19472416666666667,26,13
180000,19,2,66.36,55.557,0.19469999999999998,26,13
180000,20,1,59.745,44.872,0.9502125,23,12
180000,21,1,53.305,39.419,0.9555791666666666,21,11
180000,22,1,72.566,55.748,0.9395283333333333,27,14
180000,23,1,59.769,44.928,0.9501925,23,12
180000,24,2,66.324,55.795,0.19473000000000001,26,13
180000,25,1,113.247,90.348,0.9056275,41,21
180000,26,2,60.041,50.227,0.19996583333333334,24,12
180000,27,1,91.071,71.116,0.9241075,33,17
180000,28,2,79.07,65.936,0.18410833333333332,30,15
180000,29,2,66.312,55.57,0.19474,26,13
180000,30,1,91.091,71.347,0.9240908333333333,33,17
240000,1,2,70.871,44.801,0.19094083333333334,22,11
240000,2,1,78.923,45.015,0.9342308333333333,23,12
240000,3,1,78.996,45.086,0.93417,23,12
240000,4,2,79.644,50.246,0.18363000000000002,24,12
240000,5,1,78.942,44.84,0.934215,23,12
240000,6,2,70.722,44.881,0.191065,22,11
240000,7,1,78.878,44.938,0.9342683333333334,23,12
240000,8,1,78.824,44.891,0.9343133333333333,23,12
240000,9,1,70.019,39.29,0.9416508333333333,21,11
240000,10,2,79.335,50.265,0.1838875,24,12
240000,11,1,79.011,44.805,0.9341575,23,12
240000,12,1,78.781,44.868,0.9343491666666667,23,12
240000,13,1,150.694,90.072,0.8744216666666667,41,21
240000,14,2,88.287,55.518,0.17642750000000001,26,13
240000,15,1,128.492,75.966,0.8929233333333333,35,18
240000,16,2,70.408,44.702,0.19132666666666667,22,11
240000,17,1,78.822,44.949,0.934315,23,12
240000,18,1,78.919,44.966,0.9342341666666667,23,12
240000,19,1,78.875,45.074,0.9342708333333334,23,12
240000,20,2,87.76,55.631,0.17686666666666667,26,13
240000,21,1,78.782,44.794,0.9343483333333333,23,12
240000,22,2,87.993,55.488,0.1766725,26,13
240000,23,2,87.962,55.667,0.17669833333333335,26,13
240000,24,2,88.088,55.54,0.17659333333333332,26,13
240000,25,2,70.291,44.781,0.19142416666666667,22,11
240000,26,2,79.088,50.105,0.18409333333333333,24,12
240000,27,2,87.92,55.567,0.17673333333333333,26,13
240000,28,2,88.079,55.595,0.17660083333333332,26,13
240000,29,1,69.986,39.273,0.9416783333333334,21,11
240000,30,1,87.412,50.252,0.9271566666666666,25,13
300000,1,1,97.943,45.007,0.9183808333333333,23,12
300000,2,1,98.104,44.849,0.9182466666666667,23,12
300000,3,1,98.307,45.073,0.9180775,23,12
300000,4,1,188.74,90.116,0.8427166666666667,41,21
300000,5,1,98.317,44.843,0.9180691666666667,23,12
300000,6,1,98.667,45.002,0.9177775,23,12
300000,7,1,130.176,61.06,0.89152,29,15
300000,8,2,87.254,44.776,0.17728833333333333,22,11
300000,9,2,87.253,44.824,0.17728916666666666,22,11
300000,10,1,97.882,44.872,0.9184316666666666,23,12
300000,11,1,87.008,39.319,0.9274933333333333,21,11
300000,12,1,86.868,39.352,0.92761,21,11
300000,13,2,109.582,55.472,0.15868166666666667,26,13
300000,14,2,98.416,50.166,0.16798666666666667,24,12
300000,15,1,150.677,71.031,0.8744358333333333,33,17
300000,16,2,87.288,44.724,0.17726,22,11
300000,17,2,119.947,60.801,0.15004416666666665,28,14
300000,18,1,87.09,39.315,0.9274249999999999,21,11
300000,19,2,109.123,55.562,0.15906416666666667,26,13
300000,20,1,119.682,55.542,0.900265,27,14
300000,21,1,98.275,44.958,0.9181041666666667,23,12
300000,22,1,97.898,44.802,0.9184183333333333,23,12
300000,23,2,119.875,60.761,0.15010416666666665,28,14
300000,24,2,109.106,55.575,0.15907833333333332,26,13
300000,25,2,109.504,55.467,0.15874666666666665,26,13
300000,26,2,109.784,55.524,0.15851333333333334,26,13
300000,27,1,140.655,66.107,0.8827875000000001,31,16
300000,28,1,98.038,44.825,0.9183016666666667,23,12
300000,29,1,160.574,76.111,0.8661883333333333,35,18
300000,30,2,119.87,60.718,0.15010833333333334,28,14
